,model_a,model_b,p_value,accuracy_a,accuracy_b,better_model
0,mlp,rf,41.995e-5,30.056,31.86,rf
1,mlp,knn,0.002e-5,30.056,22.48,mlp
2,mlp,dt,2.065e-5,30.056,21.314,mlp
3,mlp,lvq,0.012e-5,30.056,17.964,mlp
4,mlp,svm,6.380e-5,30.056,28.055,mlp
5,rf,knn,0.100e-5,31.86,22.48,rf
6,rf,dt,0.139e-5,31.86,21.314,rf
7,rf,lvq,0.007e-5,31.86,17.964,rf
8,rf,svm,0.570e-5,31.86,28.055,rf
9,knn,dt,4039.749e-5,22.48,21.314,knn
10,knn,lvq,0.621e-5,22.48,17.964,knn
11,knn,svm,0.154e-5,22.48,28.055,svm
12,dt,lvq,51.008e-5,21.314,17.964,dt
13,dt,svm,1.802e-5,21.314,28.055,svm
14,lvq,svm,0.048e-5,17.964,28.055,svm
